// Initial random seed:
1501397958109

// RunInitializeCallbacks():
initializeMutationRate(1e-05);
initializeMutationType(1, 0.5, "f", 1);
37 26 34 26
39 26 32 25
40 25 33 21
39 21 35 22
38 26 32 24
37 20 28 25
38 29 35 20
37 24 37 29
40 27 36 24
36 21 40 23
34 22 39 25
32 22 38 23
37 20 39 20
33 22 36 18
33 23 36 27
36 22 36 25
40 24 35 25
37 23 27 21
38 26 34 26
38 28 32 25
33 24 34 20
35 20 32 23
39 24 37 18
35 21 35 22
37 31 41 19
35 22 37 25
33 22 38 24
33 22 32 27
38 23 36 29
35 25 38 23
43 27 32 26
35 32 31 24
31 29 32 27
35 28 34 23
36 17 37 29
38 24 32 26
40 27 30 23
36 21 41 23
36 23 35 23
35 21 31 22
34 23 32 17
36 24 34 20
35 22 41 21
38 26 33 20
33 19 31 24
35 24 27 23
35 29 33 19
38 20 40 22
41 20 33 23
32 27 33 21
36 24 29 25
38 21 34 19
35 28 34 20
42 28 41 17
43 23 31 21
33 27 37 20
36 26 32 22
36 26 36 20
33 25 36 21
36 26 35 24
40 24 35 30
36 22 37 29
37 20 35 22
40 24 37 26
36 24 38 25
35 20 39 21
30 20 37 22
36 28 35 20
41 21 33 15
34 20 31 22
40 21 34 24
38 21 36 24
34 31 36 23
26 23 41 36
39 19 27 23
32 28 35 26
39 22 36 26
36 24 35 20
37 26 31 34
35 22 32 23
37 24 40 22
31 23 33 25
40 23 31 20
36 17 33 19
34 21 34 24
34 28 37 19
39 28 35 22
39 21 35 30
40 19 33 20
37 22 28 23
36 23 31 21
40 19 36 25
37 23 38 24
38 24 36 22
39 22 32 29
36 28 34 27
34 22 33 25
41 25 31 23
29 27 30 23
37 30 34 23
38 24 27 25
35 24 34 23
39 32 37 21
37 20 34 26
35 23 35 33
38 30 31 21
33 24 39 27
37 26 30 21
35 24 37 20
35 26 37 21
39 26 35 19
40 20 37 22
36 26 29 22
38 17 33 18
35 21 33 23
42 30 33 17
38 32 24 16
39 26 36 21
41 27 32 21
38 21 32 23
35 30 26 23
41 22 32 22
45 26 36 23
39 29 38 25
41 20 38 24
37 20 36 24
38 20 29 19
38 26 38 21
38 26 35 23
37 22 39 25
37 26 34 25
39 29 39 17
30 20 30 14
36 27 38 17
37 23 36 20
39 22 33 21
35 23 40 25
36 33 33 25
37 24 34 23
35 20 30 21
38 27 34 27
36 25 29 23
35 24 33 28
34 24 34 24
36 27 42 20
40 26 37 23
34 29 35 22
31 23 38 25
39 23 33 25
36 27 31 18
39 19 33 25
37 18 28 21
36 20 32 24
39 22 36 18
37 24 34 21
37 21 35 28
39 25 30 26
30 25 39 26
37 23 30 26
41 21 37 24
36 23 38 22
34 26 40 20
34 24 33 24
35 21 31 20
36 23 30 21
40 23 32 27
39 24 33 23
31 21 26 24
33 28 38 24
38 25 30 19
35 24 35 23
32 19 35 22
40 24 39 23
34 23 31 26
35 22 28 22
36 27 34 20
35 33 38 20
39 25 34 17
34 29 33 20
39 29 36 23
42 24 31 25
32 23 37 20
37 19 31 18
34 29 34 21
40 31 37 22
41 25 31 32
37 20 37 25
37 24 35 24
41 27 31 26
39 26 36 27
33 23 30 26
33 19 32 27
36 22 28 18
38 24 33 26
36 24 32 16
39 26 39 25
35 24 36 22
37 24 35 27
35 26 26 27
34 22 35 26
38 27 26 24
41 23 27 21
38 25 35 24
37 24 33 27
35 19 38 27
37 26 34 20
40 26 32 20
40 25 34 21
34 26 36 19
37 23 32 23
43 24 40 18
37 27 37 23
36 26 37 21
37 28 37 16
35 20 37 23
43 28 34 29
37 25 34 24
31 21 37 24
37 27 31 23
39 25 34 18
32 29 31 26
36 21 36 23
38 21 37 23
36 23 34 18
35 25 35 27
39 28 40 21
41 26 33 18
34 18 29 20
38 21 31 24
42 31 39 20
37 25 33 18
39 21 36 21
38 26 26 15
40 24 30 25
35 29 32 25
41 26 34 22
33 25 33 18
36 22 32 21
38 16 36 20
33 22 32 19
33 27 32 28
32 23 39 24
39 24 28 17
37 22 38 28
36 23 33 20
41 23 32 21
42 21 38 23
39 18 34 29
40 25 34 23
38 17 36 24
43 26 32 20
37 27 36 24
38 25 37 23
39 24 38 26
38 18 38 25
40 27 35 19
37 22 33 22
36 22 37 24
32 25 31 22
35 25 38 23
38 23 37 33
33 26 38 18
37 24 32 20
38 25 32 22
38 25 35 25
38 29 37 24
35 27 41 22
39 23 34 20
33 24 29 19
36 23 35 27
35 26 29 22
39 15 34 18
39 19 30 22
33 24 34 26
36 25 29 23
40 33 37 19
36 33 39 25
38 19 36 24
39 22 32 23
34 22 34 22
38 20 25 19
35 28 30 17
40 23 37 27
32 17 37 33
33 22 38 20
36 23 36 26
39 24 42 23
38 19 34 25
31 26 39 16
40 19 37 23
35 27 34 23
36 23 30 24
38 20 32 26
33 24 34 27
34 20 39 23
33 20 38 22
35 26 40 22
39 25 38 18
34 21 43 29
39 27 37 20
35 22 35 22
32 20 38 23
41 23 38 22
37 23 33 27
39 24 35 25
36 21 44 24
44 26 36 24
37 21 37 23
35 22 33 24
37 20 40 26
40 25 40 25
33 21 36 25
34 20 36 23
38 27 33 28
39 20 37 25
39 24 37 21
37 18 33 18
37 19 38 18
36 20 37 27
31 22 37 27
35 25 38 23
29 22 32 28
38 19 34 25
33 24 36 24
38 21 39 27
39 22 37 27
31 28 35 19
34 23 36 22
30 21 41 25
36 17 38 27
36 25 41 24
33 23 39 24
37 18 32 23
32 20 36 27
36 22 36 18
34 18 37 20
35 19 40 24
37 21 39 22
32 21 34 24
33 27 28 23
30 21 35 22
35 23 39 22
36 22 34 18
35 19 36 21
34 23 43 28
28 19 33 19
38 22 34 20
37 25 39 20
37 23 38 22
40 25 35 26
38 26 43 25
34 22 37 23
38 19 39 30
31 23 35 25
38 21 36 28
34 25 37 27
33 26 36 26
36 20 30 23
40 23 35 25
36 18 36 20
34 25 43 19
34 19 36 28
38 23 39 22
39 22 37 20
30 16 39 26
39 23 36 22
32 24 36 24
42 22 37 30
37 24 39 20
32 24 39 30
34 26 39 27
36 24 34 27
38 24 39 21
39 19 38 19
35 25 36 23
32 29 40 22
38 22 36 20
31 23 40 25
38 22 41 28
35 20 30 27
33 24 44 19
32 22 34 24
38 26 40 24
32 18 35 24
33 19 33 27
36 21 33 24
36 26 42 19
34 24 36 23
33 22 41 27
33 25 33 16
31 23 39 24
39 22 39 25
33 19 40 28
36 19 34 25
39 21 37 26
40 23 38 23
36 22 36 25
35 24 34 27
36 21 42 25
35 25 39 26
31 20 37 23
39 23 33 29
38 26 29 23
41 26 37 30
36 26 37 25
33 21 34 28
28 22 37 22
35 24 34 31
32 19 38 22
37 27 41 27
31 25 39 30
39 24 39 21
38 20 40 18
41 22 39 28
37 28 35 23
39 22 39 24
37 23 36 29
31 24 35 25
34 23 40 24
36 21 42 33
35 26 35 27
39 23 35 22
38 27 40 19
36 26 33 23
41 20 33 22
37 18 34 22
39 26 35 28
37 22 42 26
30 17 33 24
31 21 39 18
36 21 39 29
36 21 33 29
34 21 37 26
36 20 37 28
36 25 36 26
31 21 33 25
36 21 35 23
37 20 37 26
36 23 43 28
32 20 36 21
31 20 36 25
33 16 38 20
38 17 35 22
37 25 33 24
37 23 37 27
37 22 37 27
34 21 32 25
41 27 40 18
32 23 42 23
38 20 37 27
32 16 34 22
29 16 39 21
38 25 39 29
34 19 33 24
35 25 31 26
33 23 30 20
36 24 29 21
33 21 38 24
34 21 36 28
35 21 36 21
36 22 44 22
34 20 36 27
34 21 36 27
33 22 39 26
33 19 36 23
33 23 45 22
36 23 42 29
39 20 40 21
39 19 41 21
39 20 40 31
34 20 34 29
32 18 37 33
40 20 39 26
31 22 36 29
40 25 35 23
36 22 36 20
29 23 35 21
38 16 41 23
34 24 38 24
35 25 39 20
42 23 30 19
33 23 40 25
34 27 35 24
36 22 41 23
38 23 36 27
36 22 36 31
35 20 37 22
40 18 31 24
26 23 39 31
36 26 39 27
34 22 38 20
36 16 41 27
33 20 36 26
32 22 38 21
34 19 41 28
34 22 35 23
34 21 35 29
37 24 35 29
36 22 39 18
39 22 34 26
38 20 43 26
38 24 40 27
33 19 41 26
35 18 36 26
41 23 32 22
36 24 40 28
40 27 35 26
36 27 41 22
34 24 39 22
33 19 32 27
34 24 38 25
35 21 39 22
40 21 38 25
38 20 37 20
32 20 39 24
33 21 38 29
38 20 37 23
36 23 40 26
37 25 42 24
39 24 40 19
34 26 35 21
35 25 34 32
34 17 44 28
38 27 38 27
33 23 37 24
39 24 37 26
36 19 32 22
38 24 40 29
33 19 40 18
39 25 41 23
33 15 35 28
37 23 35 20
34 21 33 28
36 20 36 22
35 27 36 30
37 21 35 24
36 27 31 28
34 19 39 23
38 21 37 28
33 21 40 18
34 25 38 22
34 20 35 29
37 27 38 30
34 25 36 26
33 24 37 27
30 16 42 23
31 23 37 25
42 26 40 25
34 20 28 27
36 19 41 20
38 27 39 28
32 22 41 28
33 22 39 31
31 19 34 27
35 23 36 24
31 23 39 23
29 18 36 23
31 21 38 19
37 21 38 32
34 25 44 27
36 23 39 25
33 24 39 21
35 22 42 22
35 24 41 28
35 24 41 26
33 26 42 21
42 24 36 25
38 19 35 22
36 22 40 24
35 20 37 26
24 23 32 26
38 24 40 24
30 20 36 25
40 21 39 27
37 18 32 27
40 18 36 28
35 21 38 23
35 23 37 23
44 24 39 16
35 18 37 24
36 20 39 26
35 24 41 25
39 15 32 30
35 24 34 25
39 21 35 25
32 25 43 25
32 20 34 27
27 21 34 29
40 27 41 24
34 21 40 19
39 21 37 27
28 22 35 30
38 20 31 23
38 24 35 25
36 22 43 22
32 23 38 19
33 25 39 25
34 21 35 24
35 20 38 26
34 25 37 25
37 25 37 18
35 16 36 26
30 23 41 22
38 26 38 21
35 23 40 22
37 22 28 28
28 21 29 27
29 26 35 27
32 23 42 23
32 25 37 25
37 20 33 23
39 23 30 27
31 19 39 30
38 23 38 23
36 19 39 25
33 16 35 29
30 30 41 29
36 22 41 27
36 26 38 26
41 20 41 27
32 21 37 24
35 19 36 26
37 18 40 27
36 28 37 22
31 20 44 26
42 23 36 23
40 25 34 28
37 18 35 29
33 21 30 26
37 21 36 26
33 25 33 24
39 21 27 23
36 24 45 22
32 27 39 30
37 25 36 16
37 24 43 24
34 25 36 16
35 19 38 30
40 23 38 25
37 20 31 17
38 26 30 23
34 24 34 28
32 17 39 24
40 19 37 28
33 28 29 21
34 23 40 28
37 22 30 21
36 23 35 26
35 20 27 26
34 18 36 25
32 21 38 21
36 15 37 26
33 21 35 30
33 21 36 21
36 25 31 24
37 24 37 22
30 23 37 27
38 23 39 23
35 20 39 19
34 19 35 17
38 23 39 20
34 19 39 25
38 22 35 22
34 23 34 28
29 22 34 27
32 26 33 25
38 21 41 26
33 21 39 20
35 25 36 22
34 22 36 20
35 21 31 19
36 21 38 21
38 25 34 23
36 22 34 22
39 21 36 22
38 20 35 26
35 24 34 23
32 27 41 25
42 24 33 24
27 21 39 21
31 22 38 21
36 19 38 21
33 22 42 32
39 25 36 23
38 26 39 20
32 21 32 23
37 22 34 30
35 22 37 26
36 23 45 27
38 25 41 26
39 20 35 24
36 24 35 25
39 21 40 25
38 26 37 22
33 26 35 27
36 29 34 28
37 24 40 24
39 18 30 21
40 22 40 24
36 22 30 19
39 22 32 23
33 18 30 20
36 24 35 29
37 22 38 26
35 20 38 21
38 23 38 24
35 22 38 25
34 22 39 23
40 22 33 28
31 24 42 27
36 21 36 25
37 21 35 29
30 24 32 28
30 23 31 20
37 21 37 21
38 26 40 20
34 14 38 27
33 25 39 25
34 24 29 22
32 26 34 29
31 22 38 25
38 23 40 27
34 19 38 20
42 15 32 25
35 26 38 28
35 19 39 25
37 24 39 36
33 25 39 30
33 27 29 22
33 22 36 27
36 18 35 33
37 19 38 24
39 18 32 24
33 24 42 29
35 17 33 23
32 19 32 22
32 24 40 25
33 24 34 26
39 23 33 25
32 26 33 23
34 21 37 25
38 26 41 22
30 19 35 21
31 19 35 17
34 19 34 20
37 25 36 23
41 22 38 29
32 20 35 23
35 20 43 24
34 18 37 28
40 19 36 28
37 22 32 22
34 22 37 24
37 26 37 23
41 19 36 23
38 22 37 27
42 19 34 23
33 20 38 24
38 19 37 25
41 23 37 27
37 18 37 31
40 26 37 27
31 23 36 24
42 27 38 24
36 25 37 25
36 20 33 28
37 22 39 21
34 22 37 18
43 23 32 23
31 23 43 27
34 26 32 16
34 22 36 27
40 22 32 24
37 19 40 31
36 27 39 21
37 28 35 24
29 21 34 27
35 26 44 22
36 24 41 30
39 18 38 20
35 23 36 24
32 20 37 26
38 21 42 20
41 28 32 19
35 23 39 27
39 25 41 25
31 25 38 25
37 18 37 28
35 21 39 23
39 25 43 23
38 19 32 23
35 33 40 21
30 23 35 22
38 24 38 29
32 21 37 27
35 21 39 21
36 20 39 19
36 21 40 22
35 23 38 25
40 20 42 24
32 21 37 19
37 22 32 25
37 21 37 23
34 19 39 25
31 27 38 28
33 22 38 26
33 20 35 25
34 23 41 26
39 21 35 22
35 21 34 22
40 22 41 27
30 25 34 23
33 22 36 21
36 26 40 26
28 20 35 19
37 28 39 25
38 19 40 24
33 24 43 29
38 22 41 20
36 23 41 23
38 25 39 21
36 26 37 25
31 24 36 21
35 23 35 31
37 23 41 23
37 22 37 30
39 21 36 32
38 29 34 22
38 26 41 21
32 25 35 18
42 22 34 25
37 22 40 30
33 23 38 25
37 26 45 28
22 22 34 21
36 25 35 17
35 23 40 27
36 22 35 30
38 20 41 21
38 19 30 19
30 21 34 24
34 25 32 20
35 21 41 24
38 22 42 24
40 20 36 24
28 23 32 28
34 23 37 25
32 22 36 22
32 20 35 29
29 21 38 26
31 24 44 25
38 24 34 27
38 20 37 31
37 23 36 27
35 26 40 23
34 23 34 25
36 21 44 24
42 25 35 20
35 21 38 28
40 22 31 23
31 24 39 24
40 23 34 22
35 24 41 25
34 24 40 19
30 17 33 35
37 24 33 28
36 27 41 22
35 23 35 24
35 21 34 22
31 19 34 25
39 19 38 26
36 23 36 24
29 18 32 26
31 20 37 25
37 22 39 24
37 21 33 25
35 21 41 27
37 25 38 25
32 22 31 26
36 26 39 31
35 25 38 24
40 20 35 26
36 22 35 25
37 22 36 26
33 19 42 19
37 27 36 27
35 22 39 22
32 23 37 21
39 28 40 26
39 21 41 24
34 22 33 24
32 18 36 23
32 27 32 28
34 22 36 21
36 23 41 22
39 26 41 22
34 23 36 21
35 21 30 29
30 19 37 27
35 23 34 29
34 23 38 25
35 23 34 26
35 21 39 22
41 23 41 15
40 20 45 23
39 27 35 19
33 21 34 21
34 18 35 24
32 20 36 26
34 19 35 21
37 26 37 26
40 19 38 21
34 22 39 28
39 25 41 23
32 19 29 24
35 22 39 31
34 21 35 24
32 25 41 16
37 22 36 24
40 22 45 25
38 24 38 22
32 21 38 22
34 21 35 19
40 20 42 20
36 23 42 28
36 22 38 27
34 24 37 21
39 25 35 31
36 19 29 22
31 23 36 28
38 20 36 24
37 22 38 20
31 23 43 16
38 22 41 29
36 22 34 26
36 19 40 21
40 17 38 23
35 19 34 28
33 22 36 33
31 19 34 26
31 21 30 22
37 24 36 23
37 19 39 20
33 27 35 19
38 23 41 28
33 23 41 31
38 22 39 25
36 27 42 28
40 20 35 25
32 30 38 28
31 21 38 23
38 26 42 27
34 21 37 22
40 24 39 27
34 24 40 24
38 23 39 20
38 22 33 25
37 23 43 20
38 21 39 30
38 25 38 21
35 25 34 25
36 18 31 25
35 17 42 19
32 20 42 26
39 21 36 22
35 23 34 27
37 29 35 26
33 22 36 24
40 19 37 23
37 22 40 22
35 25 37 23
36 20 39 24
33 21 36 21
32 26 37 18
34 19 34 21
38 17 26 31
34 20 30 24
37 25 35 26
37 23 29 26
24 21 34 21
28 21 38 22
37 22 43 23
35 24 39 23
35 22 41 24
41 25 35 36
41 20 33 24
32 25 33 21
35 20 31 24
34 23 35 20
38 28 36 23
34 24 38 26
31 19 34 24
