// Initial random seed:
1501730706867

// RunInitializeCallbacks():
initializeMutationRate(1e-05);
initializeMutationType(1, 0.5, "f", 1);
224 436 215 445
223 443 220 446
219 443 225 437
221 433 222 432
224 425 220 429
222 432 220 434
223 428 222 429
222 433 224 431
225 425 222 428
223 437 222 438
225 421 221 425
224 436 219 441
223 417 221 419
224 441 223 442
228 426 220 434
224 427 221 430
225 423 223 425
227 429 225 431
228 409 226 411
228 415 226 417
229 398 225 402
228 403 226 405
232 403 225 410
233 405 227 411
235 414 226 423
233 406 228 411
232 422 227 427
229 408 227 410
230 420 223 427
233 428 225 436
234 422 227 429
232 424 228 428
231 438 230 439
231 435 233 433
235 419 232 422
232 433 228 437
235 420 231 424
234 423 230 427
230 437 233 434
233 433 229 437
233 413 228 418
231 426 230 427
232 434 230 436
232 445 228 449
233 443 229 447
235 428 227 436
231 437 226 442
234 430 231 433
236 409 228 417
235 440 228 447
234 426 229 431
235 422 232 425
236 412 232 416
237 445 228 454
240 421 227 434
238 424 226 436
237 424 228 433
237 421 230 428
237 424 227 434
239 421 232 428
237 438 234 441
234 444 232 446
237 419 230 426
241 427 229 439
235 420 235 420
239 434 237 436
237 426 239 424
238 442 238 442
239 449 243 445
238 444 232 450
235 463 237 461
237 455 235 457
241 456 236 461
