// Initial random seed:
1501322493972

// RunInitializeCallbacks():
initializeMutationRate(1e-05);
initializeMutationType(1, 0.5, "f", 1);
48 626 44 630
48 617 44 621
47 617 50 614
51 626 49 628
51 629 45 635
45 643 47 641
48 639 47 640
47 623 43 627
49 636 45 640
44 647 46 645
47 604 45 606
47 631 47 631
47 623 48 622
45 638 49 634
46 642 47 641
45 622 43 624
45 628 43 630
49 632 49 632
42 643 49 636
46 636 50 632
47 641 45 643
46 654 47 653
44 655 49 650
41 637 44 634
41 620 46 615
40 656 44 652
36 647 44 639
41 650 43 648
34 634 38 630
37 649 40 646
40 648 41 647
36 628 40 624
36 640 40 636
36 633 44 625
33 626 41 618
35 629 41 623
33 638 40 631
34 639 45 628
35 637 49 623
33 640 47 626
31 636 52 615
34 630 47 617
31 639 44 626
34 636 45 625
34 638 45 627
38 646 43 641
34 652 43 643
38 629 43 624
39 656 42 653
35 653 37 651
33 653 41 645
35 650 38 647
36 644 44 636
32 649 42 639
33 653 45 641
36 639 39 636
36 653 41 648
37 646 39 644
37 648 37 648
36 652 39 649
41 628 40 629
39 633 34 638
41 597 35 603
42 630 33 639
41 626 36 631
40 634 35 639
43 617 36 624
43 631 33 641
44 635 33 646
47 643 34 656
45 632 34 643
43 629 28 644
43 640 29 654
